,player_id,first_name,last_name,country_code,current_rank
147,105539,Evgeny,Donskoy,RUS,122
148,105550,Guido,Pella,ARG,44
149,105554,Daniel,Evans,GBR,32
150,105561,Alessandro,Giannessi,ITA,162
151,105566,Shahin,Khaledan,IRI,1723
152,105575,Ricardas,Berankis,LTU,69
153,105577,Vasek,Pospisil,CAN,61
154,105578,Cristian,Rodriguez,COL,498
155,105583,Dusan,Lajovic,SRB,26
156,105585,Ze,Zhang,CHN,419
157,105587,Tom,Kocevar Desman,SLO,733
158,105589,Gerald,Melzer,AUT,1105
159,105606,Mohsen,Hossein Zade,IRI,-1
160,105613,Norbert,Gombos,SVK,88
161,105614,Bradley,Klahn,USA,149
162,105626,Takanyi,Garanganga,ZIM,568
163,105633,Mohamed,Safwat,EGY,153
164,105634,Viktor,Galovic,ITA,284
165,105641,Blaz,Rola,SLO,154
166,105643,Federico,Delbonis,ARG,77
167,105649,Cedrik Marcel,Stebe,GER,126
168,105656,Marcelo,Arevalo,ESA,447
169,105657,Marius,Copil,ROU,216
170,105668,Jerzy,Janowicz,POL,503
171,105671,Gastao,Elias,POR,414
172,105676,David,Goffin,BEL,16
173,105683,Milos,Raonic,CAN,14
174,105688,Manuel,Sanchez,MEX,854
175,105691,Scott,Griekspoor,NED,696
176,105707,Nicolaas,Scholtz,RSA,-1
177,105723,Andrey,Kuznetsov,RUS,517
178,105731,Steven,Diez,CAN,177
179,105732,Pierre Hugues,Herbert,FRA,83
180,105747,Karim Mohamed,Maamoun,EGY,390
181,105757,Sandro,Ehrat,SUI,376
182,105777,Grigor,Dimitrov,BUL,19
183,105806,Mirza,Basic,BIH,329
184,105807,Pablo,Carreno Busta,ESP,15
185,105812,David,Agung Susanto,INA,1385
186,105815,Tennys,Sandgren,USA,50
187,105819,Guido,Andreozzi,ARG,166
188,105827,Laurynas,Grigelis,LTU,424
189,105841,Lorenzo,Giustino,ITA,151
190,105842,Di,Wu,CHN,322
191,105870,Yannick,Hanfmann,GER,99
192,105877,Emilio,Gomez,ECU,160
193,105882,Stefano,Travaglia,ITA,75
194,105899,Martin,Cuevas,URU,488
195,105902,James,Duckworth,AUS,103
196,105905,Danilo,Petrovic,SRB,144
197,105906,Kevin,Krawietz,GER,648
198,105916,Marton,Fucsovics,HUN,54
199,105932,Nikoloz,Basilashvili,GEO,40
200,105933,Roberto,Quiroz,ECU,293
201,105935,Duilio,Beretta,PER,-1
202,105936,Filip,Krajinovic,SRB,30
203,105943,Federico,Gaio,ITA,136
204,105948,Federico,Coria,ARG,91
205,105952,Renzo,Olivo,ARG,212
206,105954,Peter,Nagy,HUN,557
207,105960,Evan,King,USA,427
208,105961,David,Souto,VEN,-1
209,105963,Arthur,De Greef,BEL,338
210,105967,Henri,Laaksonen,SUI,133
211,105985,Darian,King,BAR,288
212,105992,Ryan,Harrison,USA,481
213,106000,Damir,Dzumhur,BIH,118
214,106005,Constant,Lestienne,FRA,227
215,106021,Dragos,Dima,ROU,771
216,106026,Yuki,Bhambri,IND,-1
217,106031,Raymond,Sarmiento,USA,402
218,106032,Facundo,Arguello,ARG,358
219,106034,Yasutaka,Uchiyama,JPN,104
220,106043,Diego Sebastian,Schwartzman,ARG,9
221,106044,Nicolas,Kicker,ARG,-1
222,106045,Denis,Kudla,USA,114
223,106058,Jack,Sock,USA,255
224,106065,Marco,Cecchinato,ITA,79
225,106071,Bernard,Tomic,AUS,228
226,106072,Alexey,Vatutin,RUS,244
227,106075,Jozef,Kovalik,SVK,131
228,106078,Egor,Gerasimov,BLR,78
229,106099,Salvatore,Caruso,ITA,76
230,106105,Guilherme,Clezar,BRA,266
231,106106,George,Tsivadze,GEO,886
232,106109,Alex,Bolt,AUS,172
233,106110,Filip,Horansky,SVK,184
234,106120,Ricardo,Ojeda Lara,ESP,460
235,106121,Taro,Daniel,JPN,116
236,106137,Tristan,Lamasine,FRA,271
237,106138,Yaraslau,Shyla,BLR,988
238,106148,Roberto,Carballes Baena,ESP,96
239,106150,Jeson,Patrombon,PHI,1465
240,106167,Joris,De Loore,BEL,-1
241,106174,Gonzalo,Lama,CHI,740
242,106175,Ricardo,Rodriguez,VEN,534
