player_id,first_name,last_name,country_code,current_rank,current_points
105453,Kei,Nishikori,JPN,41,1345
105467,Jordi,Munoz Abreu,VEN,1266,4
105477,Marco,Trungelliti,ARG,243,226
105479,Alejandro,Mendoza,BOL,826,20
105487,Facundo,Bagnis,ARG,125,543
123921,Calvin,Hemery,FRA,469,76
105493,Tomislav,Brkic,BIH,616,40
105497,Jose,Hernandez,DOM,316,142
105499,Christopher,Diaz Figueroa,GUA,-1,-1
105502,N Sriram,Balaji,IND,1164,6
128034,Hubert,Hurkacz,POL,35,1518
105515,Jordi,Samper Montana,ESP,1043,9
105526,Jan Lennard,Struff,GER,37,1450
105539,Evgeny,Donskoy,RUS,122,548
134217,Skyler,Butts,HKG,1624,2
103499,Aqeel,Khan,PAK,-1,-1
105550,Guido,Pella,ARG,44,1310
105554,Daniel,Evans,GBR,32,1589
105561,Alessandro,Giannessi,ITA,162,393
105566,Shahin,Khaledan,IRI,1723,1
207971,Xavier,Lawrence,BAR,-1,-1
207972,Minjong,Park,KOR,1520,2
207973,Ainius,Sabaliauskas,LTU,-1,-1
105575,Ricardas,Berankis,LTU,69,889
105577,Vasek,Pospisil,CAN,61,1013
105578,Cristian,Rodriguez,COL,498,70
103529,Aisam Ul Haq,Qureshi,PAK,-1,-1
124014,Ernesto,Escobedo,USA,199,329
105583,Dusan,Lajovic,SRB,26,1785
105585,Ze,Zhang,CHN,419,92
105587,Tom,Kocevar Desman,SLO,733,27
105589,Gerald,Melzer,AUT,1105,7
124022,Chun Hun,Wong,HKG,-1,-1
109698,Christoffer,Konigsfeldt,DEN,-1,-1
105606,Mohsen,Hossein Zade,IRI,-1,-1
105613,Norbert,Gombos,SVK,88,797
126094,Andrey,Rublev,RUS,8,4164
105614,Bradley,Klahn,USA,149,444
103565,Stephane,Robert,FRA,900,15
111761,Benjamin,Lock,ZIM,439,86
126102,Nicolae,Frunza,ROU,792,22
105626,Takanyi,Garanganga,ZIM,568,51
208028,Francisco,Llanes,URU,-1,-1
208029,Holger Vitus Nodskov,Rune,DEN,474,75
105633,Mohamed,Safwat,EGY,153,425
105634,Viktor,Galovic,ITA,284,180
126120,Nino,Serdarusic,CRO,292,172
105641,Blaz,Rola,SLO,154,424
105643,Federico,Delbonis,ARG,77,851
109739,Maximilian,Marterer,GER,209,300
126125,Maxime,Janvier,FRA,210,299
111790,Brayden,Schnur,CAN,207,305
124079,Pedro,Martinez Portero,ESP,86,810
206000,Michel,Saade,LIB,-1,-1
105649,Cedrik Marcel,Stebe,GER,126,534
111794,Kamil,Majchrzak,POL,107,690
111795,Filippo,Baldi,ITA,241,229
126127,Benjamin,Bonzi,FRA,164,391
111797,Nicolas,Jarry,CHI,-1,-1
103607,Victor,Estrella,DOM,894,15
105656,Marcelo,Arevalo,ESA,447,82
105657,Marius,Copil,ROU,216,277
132283,Lorenzo,Sonego,ITA,33,1588
111805,Seong Chan,Hong,KOR,550,55
138431,Darko,Bojanovic,BIH,1500,2
111815,Cameron,Norrie,GBR,74,877
105671,Gastao,Elias,POR,414,94
105676,David,Goffin,BEL,16,2555
105683,Milos,Raonic,CAN,14,2580
124116,Sebastian,Ofner,AUT,159,409
105688,Manuel,Sanchez,MEX,854,17
105691,Scott,Griekspoor,NED,696,30
122078,Dmitry,Popko,KAZ,165,391
126174,Youssef,Hossam,EGY,-1,-1
124126,Sarp,Agabigun,TUR,882,16
105707,Nicolaas,Scholtz,RSA,-1,-1
126190,Nicolas,Alvarez,PER,343,126
136440,Dominik,Koepfer,GER,66,931
126203,Taylor Harry,Fritz,USA,29,1695
126204,Gerardo,Lopez Villasenor,MEX,552,55
122109,Sanjar,Fayziev,UZB,511,65
126205,Tommy,Paul,USA,52,1080
126207,Francis,Tiafoe,USA,62,1005
105732,Pierre Hugues,Herbert,FRA,83,822
144645,Zdenek,Kolar,CZE,224,257
105747,Karim Mohamed,Maamoun,EGY,390,104
124187,Reilly,Opelka,USA,39,1402
105757,Sandro,Ehrat,SUI,376,109
105777,Grigor,Dimitrov,BUL,19,2260
200000,Felix,Auger Aliassime,CAN,21,2241
144707,Mikael,Ymer,SWE,94,775
200005,Ugo,Humbert,FRA,31,1671
105806,Mirza,Basic,BIH,329,134
105807,Pablo,Carreno Busta,ESP,15,2580
144719,Jaume,Munar,ESP,109,671
105812,David,Agung Susanto,INA,1385,3
105815,Tennys,Sandgren,USA,50,1088
105819,Guido,Andreozzi,ARG,166,389
200031,Lucas,Catarina,MON,423,91
105827,Laurynas,Grigelis,LTU,424,90
103781,Jurgen,Melzer,AUT,1345,3
202090,Adrian,Andreev,BUL,564,52
200045,Anthony,Susanto,INA,-1,-1
144750,Lloyd George Muirhead,Harris,RSA,90,793
105842,Di,Wu,CHN,322,138
144760,Amine,Ahouda,MAR,1642,1
200059,Yibing,Wu,CHN,892,15
122236,Roman,Hassanov,KAZ,-1,-1
132482,Liam,Caruana,USA,440,85
126340,Viktor,Durasovic,NOR,340,127
144776,Christophe,Tholl,LUX,-1,-1
103819,Roger,Federer,SUI,5,6630
200075,Yshai,Oliel,ISR,416,94
105870,Yannick,Hanfmann,GER,99,736
202130,Emil,Reinberg,USA,-1,-1
105882,Stefano,Travaglia,ITA,75,869
200095,Nicola,Kuhn,ESP,253,219
144807,Kenneth,Raisma,EST,819,20
105899,Martin,Cuevas,URU,488,72
103852,Feliciano,Lopez,ESP,63,998
105902,James,Duckworth,AUS,103,709
144817,Marc Andrea,Huesler,SUI,147,447
202165,Alberto,Lim,PHI,-1,-1
144826,Aziz,Dougaz,TUN,377,109
105916,Marton,Fucsovics,HUN,54,1072
105932,Nikoloz,Basilashvili,GEO,40,1395
105933,Roberto,Quiroz,ECU,293,171
105935,Duilio,Beretta,PER,-1,-1
105936,Filip,Krajinovic,SRB,30,1673
103893,Paolo,Lorenzi,ITA,145,457
105943,Federico,Gaio,ITA,136,481
103898,Julien,Benneteau,FRA,-1,-1
122330,Alexander,Bublik,KAZ,49,1090
105948,Federico,Coria,ARG,91,783
105952,Renzo,Olivo,ARG,212,284
202210,Edris,Fetisleam,ROU,-1,-1
105960,Evan,King,USA,427,89
105961,David,Souto,VEN,-1,-1
103917,Nicolas,Mahut,FRA,239,239
105967,Henri,Laaksonen,SUI,133,492
200175,Miomir,Kecmanovic,SRB,42,1328
144895,Corentin,Moutet,FRA,80,838
105985,Darian,King,BAR,288,176
105992,Ryan,Harrison,USA,481,73
106000,Damir,Dzumhur,BIH,118,572
106005,Constant,Lestienne,FRA,227,255
200218,Mate,Valkusz,HUN,575,50
103970,David,Ferrer,ESP,-1,-1
106021,Dragos,Dima,ROU,771,24
126502,Luis Diego,Chavez Villalpando,ESP,1218,5
106026,Yuki,Bhambri,IND,-1,-1
103990,Tommy,Robredo,ESP,226,255
200250,Mehluli Don Ayanda,Sibanda,ZIM,780,23
106043,Diego Sebastian,Schwartzman,ARG,9,3455
106044,Nicolas,Kicker,ARG,-1,-1
106045,Denis,Kudla,USA,114,608
126526,Soren,Hess Olesen,DEN,-1,-1
126523,Bernabe,Zapata Miralles,ESP,150,443
126530,Peter,Bothwell,IRL,824,20
126535,Carlos,Taberner,ESP,142,464
106058,Jack,Sock,USA,255,217
106065,Marco,Cecchinato,ITA,79,838
200273,Hady,Habib,LIB,756,24
200274,Alex,Diaz,PUR,-1,-1
104022,Mikhail,Youzhny,RUS,-1,-1
200278,Simon,Carr,IRL,546,57
106072,Alexey,Vatutin,RUS,244,225
106071,Bernard,Tomic,AUS,228,253
200282,Alex,De Minaur,AUS,23,1860
106075,Jozef,Kovalik,SVK,131,506
138845,Anthony Jackie,Tang,HKG,-1,-1
138846,Hong Kit Jack,Wong,HKG,924,14
106078,Egor,Gerasimov,BLR,78,840
120424,Yannick,Maden,GER,171,385
134770,Casper,Ruud,NOR,27,1739
106099,Salvatore,Caruso,ITA,76,858
202358,Chun Hsin,Tseng,TPE,280,188
106105,Guilherme,Clezar,BRA,266,207
106106,George,Tsivadze,GEO,886,16
106109,Alex,Bolt,AUS,172,380
106110,Filip,Horansky,SVK,184,352
200325,Emil,Ruusuvuori,FIN,87,806
106120,Ricardo,Ojeda Lara,ESP,460,79
106121,Taro,Daniel,JPN,116,591
202382,Simen Sunde,Bratholm,NOR,-1,-1
202385,Jenson,Brooksby,USA,310,149
126610,Matteo,Berrettini,ITA,10,3085
126613,Bogdan,Borza,ROU,1202,6
106138,Yaraslau,Shyla,BLR,988,11
106148,Roberto,Carballes Baena,ESP,96,751
106150,Jeson,Patrombon,PHI,1465,2
122548,Edan,Leshem,ISR,373,111
106167,Joris,De Loore,BEL,-1,-1
104122,Carlos,Berlocq,ARG,-1,-1
126652,Jay,Clarke,GBR,191,340
106174,Gonzalo,Lama,CHI,740,26
106175,Ricardo,Rodriguez,VEN,534,61
200384,Hugo,Gaston,FRA,161,395
106177,Oriol,Roca Batalla,ESP,326,136
106186,Jason,Kubler,AUS,259,210
200401,Amir Hossein,Badi,IRI,-1,-1
134868,Tallon,Griekspoor,NED,155,423
106198,Hugo,Dellien,BOL,111,646
202462,Yasitha,De Silva,SRI,-1,-1
106210,Jiri,Vesely,CZE,67,928
134886,Sharmal,Dissanayake,SRI,-1,-1
106214,Oscar,Otte,GER,140,474
106216,Bjorn,Fratangelo,USA,274,195
106218,Marcos,Giron,USA,70,884
106220,Dimitar,Kuzmanov,BUL,298,166
104180,Gilles,Muller,LUX,-1,-1
200436,Zsombor,Piros,HUN,437,86
106228,Juan Ignacio,Londero,ARG,81,832
106232,Roberto,Cid,DOM,231,253
106233,Dominic,Thiem,AUT,3,9125
104198,Guillermo,Garcia Lopez,ESP,222,258
106249,Joao,Domingues,POR,179,364
106250,Luis,Patino,MEX,975,12
106252,Joao Pedro,Sorgi,BRA,666,33
200460,John Bryan Decasa,Otico,PHI,-1,-1
200483,Peter August,Anker,NOR,-1,-1
200484,Rudolf,Molleker,GER,218,273
106281,Liam,Broady,GBR,187,346
104233,Frederik,Nielsen,DEN,-1,-1
106283,Mitchell,Krueger,USA,190,342
122669,Juan Pablo,Varillas Patino Samudio,PER,158,414
206642,Yassir,Kilani,MAR,1454,3
126774,Stefanos,Tsitsipas,GRE,6,5940
106296,Gregoire,Barrere,FRA,110,654
106298,Lucas,Pouille,FRA,71,880
104251,Ti,Chen,TPE,1173,6
104252,Florian,Mayer,GER,-1,-1
200514,Jurij,Rodionov,AUT,143,458
104259,Philipp,Kohlschreiber,GER,97,749
104269,Fernando,Verdasco,ESP,65,985
106324,Vaclav,Safranek,CZE,344,125
106325,Jabor,Al Mutawa,QAT,-1,-1
106328,Christian,Harrison,USA,789,22
106329,Thiago,Monteiro,BRA,84,820
106333,Julien,Cagnina,BEL,938,13
104291,Malek,Jaziri,TUN,249,220
104297,Rogerio,Dutra Silva,BRA,449,81
106348,Evgeny,Karlovskiy,RUS,258,212
106353,Pedja,Krstin,SRB,265,207
104308,Michal,Przysiezny,POL,-1,-1
104312,Andreas,Seppi,ITA,105,699
106361,Adam,Pavlasek,CZE,403,98
126845,Max,Purcell,AUS,238,241
126846,Aleksandar,Vukic,AUS,195,334
200574,Alexander,Donski,CAN,594,45
106368,Ramkumar,Ramanathan,IND,188,345
106378,Kyle,Edmund,GBR,48,1095
106391,Adrian,Bodmer,SUI,1033,10
106393,Frederico,Ferreira Silva,POR,182,356
106396,Cheng Yu,Yu,TPE,925,14
106397,Wishaya,Trongcharoenchaikul,THA,644,36
106398,Pedro,Cachin,ARG,370,112
106401,Nick,Kyrgios,AUS,46,1170
200611,Elliot,Benchetrit,FRA,221,260
200615,Alexei,Popyrin,AUS,113,631
106410,Jorge Brian,Panta Herreros,PER,521,63
200619,Sebastian,Arcila,PUR,-1,-1
106412,Lucas,Gomez,MEX,1027,10
200620,Ignacio,Garcia,PUR,-1,-1
106415,Yoshihito,Nishioka,JPN,57,1062
206768,Rafael Eduardo,Gonzalez Retana,ESA,-1,-1
200624,Sebastian,Korda,USA,119,566
106421,Daniil,Medvedev,RUS,4,8470
106423,Thanasi,Kokkinakis,AUS,260,209
106426,Christian,Garin,CHI,22,2180
106432,Borna,Coric,CRO,24,1855
110536,Kevin,King,USA,304,154
120792,M Abid Ali Khan,Akbar,PAK,-1,-1
126939,Khumoun,Sultanov,UZB,330,133
126952,Soon Woo,Kwon,KOR,95,768
