tourney_id,tourney_name,surface,tourney_date
2019-0308,Munich,Clay,20190429
2019-6242,Winston-Salem,Hard,20190819
2019-M-DC-2019-FLS-E-M-GBR-NED-01,Davis Cup Finals RR: GBR vs NED,Hard,20191120
2019-M-DC-2019-QLS-M-AUS-BIH-01,Davis Cup QLS R1: AUS vs BIH,Hard,20190201
2019-M-DC-2019-FLS-C-M-ARG-GER-01,Davis Cup Finals RR: ARG vs GER,Hard,20191120
2019-0328,Basel,Hard,20191021
2019-0495,Dubai,Hard,20190225
2019-M-DC-2019-FLS-A-M-FRA-JPN-01,Davis Cup Finals RR: FRA vs JPN,Hard,20191119
2019-0407,Rotterdam,Hard,20190211
2019-M007,Miami Masters,Hard,20190318
2019-M-DC-2019-G2-AO-M-TPE-HKG-01,Davis Cup G2 R1: TPE vs HKG,Hard,20190914
2019-M-DC-2019-QLS-M-SRB-UZB-01,Davis Cup QLS R1: SRB vs UZB,Hard,20190201
2019-M-DC-2019-G1-AM-M-BRA-BAR-01,Davis Cup G1 R1: BRA vs BAR,Clay,20190913
2019-M006,Indian Wells Masters,Hard,20190304
2019-0496,Marseille,Hard,20190218
2019-M-DC-2019-QLS-M-KAZ-POR-01,Davis Cup QLS R1: KAZ vs POR,Hard,20190201
2019-5014,Shanghai Masters,Hard,20191007
2019-M-DC-2019-G2-EPA-M-DEN-TUR-01,Davis Cup G2 R1: DEN vs TUR,Hard,20190913
2019-M-DC-2019-FLS-B-M-ESP-RUS-01,Davis Cup Finals RR: ESP vs RUS,Hard,20191119
2019-M-DC-2019-G1-AM-M-ECU-VEN-01,Davis Cup G1 R1: ECU vs VEN,Hard,20190914
2019-7650,Antalya,Grass,20190624
2019-M-DC-2019-G1-EPA-M-SWE-ISR-01,Davis Cup G1 R1: SWE vs ISR,Hard,20190913
2019-M-DC-2019-FLS-B-M-CRO-ESP-01,Davis Cup Finals RR: CRO vs ESP,Hard,20191120
2019-0533,Sao Paulo,Clay,20190225
2019-0425,Barcelona,Clay,20190422
2019-0717,Houston,Clay,20190408
2019-560,US Open,Hard,20190826
2019-9164,Zhuhai,Hard,20190923
2019-0301,Auckland,Hard,20190107
2019-M-DC-2019-FLS-E-M-KAZ-NED-01,Davis Cup Finals RR: KAZ vs NED,Hard,20191119
2019-M004,Acapulco,Hard,20190225
2019-0429,Stockholm,Hard,20191014
2019-M-DC-2019-FLS-F-M-USA-CAN-01,Davis Cup Finals RR: USA vs CAN,Hard,20191119
2019-M009,Rome Masters,Clay,20190513
2019-M035,Washington,Hard,20190729
2019-M016,Eastbourne,Grass,20190624
2019-0414,Hamburg,Clay,20190722
2019-M-DC-2019-FLS-M-GBR-GER-01,Davis Cup Finals QF: GBR vs GER,Hard,20191122
2019-M-DC-2019-FLS-F-M-USA-ITA-01,Davis Cup Finals RR: USA vs ITA,Hard,20191120
2019-M014,Moscow,Hard,20191014
2019-0319,Kitzbuhel,Clay,20190729
2019-M024,Cincinnati Masters,Hard,20190812
2019-0314,Gstaad,Clay,20190722
2019-0375,Montpellier,Hard,20190204
2019-0891,Pune,Hard,20181231
2019-0605,Tour Finals,Hard,20191111
2019-M-DC-2019-QLS-M-GER-HUN-01,Davis Cup QLS R1: GER vs HUN,Hard,20190201
2019-M-DC-2019-G2-EPA-M-NOR-GEO-01,Davis Cup G2 R1: NOR vs GEO,Clay,20190913
2019-0424,New York,Hard,20190211
2019-7290,Estoril,Clay,20190429
2019-M020,Brisbane,Hard,20181231
2019-M-DC-2019-FLS-D-M-BEL-AUS-01,Davis Cup Finals RR: BEL vs AUS,Hard,20191120
2019-M-DC-2019-G1-EPA-M-SUI-SVK-01,Davis Cup G1 R1: SUI vs SVK,Clay,20190913
2019-0500,Halle,Grass,20190617
2019-0410,Monte Carlo Masters,Clay,20190415
2019-0337,Vienna,Hard,20191021
2019-520,Roland Garros,Clay,20190527
2019-M-DC-2019-FLS-B-M-CRO-RUS-01,Davis Cup Finals RR: CRO vs RUS,Hard,20191118
2019-M-DC-2019-G1-EPA-M-AUT-FIN-01,Davis Cup G1 R1: AUT vs FIN,Hard,20190913
2019-M-DC-2019-QLS-M-CZE-NED-01,Davis Cup QLS R1: CZE vs NED,Hard,20190201
2019-M-DC-2019-FLS-F-M-ITA-CAN-01,Davis Cup Finals RR: ITA vs CAN,Hard,20191118
