player_id,first_name,last_name,country_code,current_rank
208043,Ismael Changawa Ruwa,Mzai,KEN,-1
111797,Nicolas,Jarry,CHI,-1
208055,Ajeet,Rai,NZL,951
105656,Marcelo,Arevalo,ESA,447
132283,Lorenzo,Sonego,ITA,33
105668,Jerzy,Janowicz,POL,503
126149,Gianluca,Mager,ITA,101
111815,Cameron,Norrie,GBR,74
105676,David,Goffin,BEL,16
126156,Antonie,Hoang,FRA,121
105683,Milos,Raonic,CAN,14
124116,Sebastian,Ofner,AUT,159
105688,Manuel,Sanchez,MEX,854
122078,Dmitry,Popko,KAZ,165
208108,Brian,Shi,USA,-1
126190,Nicolas,Alvarez,PER,343
136440,Dominik,Koepfer,GER,66
124154,Sasi Kumar,Mukund,IND,300
126203,Taylor Harry,Fritz,USA,29
126204,Gerardo,Lopez Villasenor,MEX,552
126205,Tommy,Paul,USA,52
105723,Andrey,Kuznetsov,RUS,517
126207,Francis,Tiafoe,USA,62
122109,Sanjar,Fayziev,UZB,511
144642,Marcelo Tomas,Barrios Vera,CHI,254
105731,Steven,Diez,CAN,177
105732,Pierre Hugues,Herbert,FRA,83
126214,Alejandro,Tabilo,CHI,167
208134,Luca,Nardi,ITA,790
105747,Karim Mohamed,Maamoun,EGY,390
132374,Jesse,Flores,CAN,1050
124187,Reilly,Opelka,USA,39
105757,Sandro,Ehrat,SUI,376
126239,Arthur,Rinderknech,FRA,178
144687,Quinton,Vega,USA,-1
105777,Grigor,Dimitrov,BUL,19
200000,Felix,Auger Aliassime,CAN,21
144707,Mikael,Ymer,SWE,94
200005,Ugo,Humbert,FRA,31
105806,Mirza,Basic,BIH,329
105807,Pablo,Carreno Busta,ESP,15
144719,Jaume,Munar,ESP,109
202065,Petros,Tsitsipas,GRE,960
105812,David,Agung Susanto,INA,1385
105815,Tennys,Sandgren,USA,50
206173,Jannik,Sinner,ITA,36
105827,Laurynas,Grigelis,LTU,424
202090,Adrian,Andreev,BUL,564
144750,Lloyd George Muirhead,Harris,RSA,90
105841,Lorenzo,Giustino,ITA,151
202103,Francisco,Cerundolo,ARG,139
206199,Kevin,Cheruiyot,KEN,1803
126340,Viktor,Durasovic,NOR,340
144775,Linh Giang,Trinh,VIE,-1
202120,Rowland,Phillips,JAM,1439
103819,Roger,Federer,SUI,5
105870,Yannick,Hanfmann,GER,99
105877,Emilio,Gomez,ECU,160
105882,Stefano,Travaglia,ITA,75
105899,Martin,Cuevas,URU,488
103852,Feliciano,Lopez,ESP,63
105902,James,Duckworth,AUS,103
105905,Danilo,Petrovic,SRB,144
144817,Marc Andrea,Huesler,SUI,147
202165,Alberto,Lim,PHI,-1
144826,Aziz,Dougaz,TUN,377
105916,Marton,Fucsovics,HUN,54
105932,Nikoloz,Basilashvili,GEO,40
105933,Roberto,Quiroz,ECU,293
105936,Filip,Krajinovic,SRB,30
202195,Maxime,Cressy,FRA,168
103893,Paolo,Lorenzi,ITA,145
105943,Federico,Gaio,ITA,136
122330,Alexander,Bublik,KAZ,49
105948,Federico,Coria,ARG,91
105952,Renzo,Olivo,ARG,212
208364,Franco,Roncadelli,URU,-1
200175,Miomir,Kecmanovic,SRB,42
105967,Henri,Laaksonen,SUI,133
200181,Amer,Naow,SYR,-1
144895,Corentin,Moutet,FRA,80
105985,Darian,King,BAR,288
202246,Nikoloz,Davlianidze,GEO,-1
105992,Ryan,Harrison,USA,481
106000,Damir,Dzumhur,BIH,118
202261,Otto,Virtanen,FIN,611
200221,Alejandro,Davidovich Fokina,ESP,53
144932,Kristjan,Tamm,EST,626
126504,Andrea,Pellegrino,ITA,278
106034,Yasutaka,Uchiyama,JPN,104
200247,Alexandar,Lazarov,BUL,544
200250,Mehluli Don Ayanda,Sibanda,ZIM,780
106043,Diego Sebastian,Schwartzman,ARG,9
202300,Phuong Van,Nguyen,VIE,-1
106045,Denis,Kudla,USA,114
126535,Carlos,Taberner,ESP,142
200265,Ulises,Blanch,USA,246
106058,Jack,Sock,USA,255
200267,Zizou,Bergs,BEL,436
106065,Marco,Cecchinato,ITA,79
106071,Bernard,Tomic,AUS,228
200282,Alex,De Minaur,AUS,23
106075,Jozef,Kovalik,SVK,131
126555,Tung Lin,Wu,TPE,247
106078,Egor,Gerasimov,BLR,78
120424,Yannick,Maden,GER,171
200303,Pavel,Kotov,RUS,269
134770,Casper,Ruud,NOR,27
106099,Salvatore,Caruso,ITA,76
202358,Chun Hsin,Tseng,TPE,280
145016,Julian,Saborio,CRC,-1
106109,Alex,Bolt,AUS,172
106110,Filip,Horansky,SVK,184
200325,Emil,Ruusuvuori,FIN,87
208518,Hazem,Naw,UNK,-1
106121,Taro,Daniel,JPN,116
200335,Felipe,Meligeni Rodrigues Alves,BRA,230
126609,Patrik,Niklas Salminen,FIN,438
126610,Matteo,Berrettini,ITA,10
126612,Alexander,Cozbinov,MDA,766
106148,Roberto,Carballes Baena,ESP,96
122533,Nam Hoang,Ly,VIE,707
106150,Jeson,Patrombon,PHI,1465
122548,Edan,Leshem,ISR,373
200384,Hugo,Gaston,FRA,161
200390,Kacper,Zuk,POL,262
126663,Juan Pablo,Ficovich,ARG,205
134868,Tallon,Griekspoor,NED,155
106198,Hugo,Dellien,BOL,111
202462,Yasitha,De Silva,SRI,-1
106210,Jiri,Vesely,CZE,67
106214,Oscar,Otte,GER,140
134886,Sharmal,Dissanayake,SRI,-1
106218,Marcos,Giron,USA,70
106220,Dimitar,Kuzmanov,BUL,298
106223,Aleksandre,Metreveli,GEO,595
106228,Juan Ignacio,Londero,ARG,81
106232,Roberto,Cid,DOM,231
106233,Dominic,Thiem,AUT,3
106234,Aslan,Karatsev,RUS,112
106247,Nik,Razborsek,SLO,734
206600,Zura,Tkemaladze,GEO,-1
106249,Joao,Domingues,POR,179
104229,Yen Hsun,Lu,TPE,1008
106281,Liam,Broady,GBR,187
104233,Frederik,Nielsen,DEN,-1
106283,Mitchell,Krueger,USA,190
122669,Juan Pablo,Varillas Patino Samudio,PER,158
106293,Kimmer,Coppejans,BEL,175
126774,Stefanos,Tsitsipas,GRE,6
106296,Gregoire,Barrere,FRA,110
106302,Andrew,Harris,AUS,232
200514,Jurij,Rodionov,AUT,143
104259,Philipp,Kohlschreiber,GER,97
132932,Franz,Luna Lavidalie,GUA,-1
104269,Fernando,Verdasco,ESP,65
106329,Thiago,Monteiro,BRA,84
106331,Christopher,Oconnell,AUS,120
104291,Malek,Jaziri,TUN,249
