tourney_id,surface,winner_id,loser_id
2020-0495,Hard,110602,105432
2020-0352,Hard,200282,105882
2020-0605,Hard,104925,106043
2020-0568,Hard,126094,133430
2020-M009,Clay,104745,105807
2020-0301,Hard,105332,128034
2020-0375,Hard,105173,200615
2020-0891,Hard,105649,103333
2020-0506,Clay,105155,106075
2020-0424,Hard,105359,111815
2020-6932,Clay,106432,132283
2020-560,Hard,105173,132283
2020-0319,Clay,200175,144817
2020-560,Hard,200005,105216
2020-520,Clay,104731,105583
2020-560,Hard,105575,105449
2020-560,Hard,200000,144895
2020-0568,Hard,126094,111815
2020-580,Hard,144707,106034
2020-580,Hard,104926,111442
2020-0375,Hard,106296,105311
2020-0891,Hard,110748,126156
2020-0506,Clay,106043,104655
2020-0568,Hard,105683,111575
2020-580,Hard,105554,111456
2020-0891,Hard,106210,105575
2020-0424,Hard,200175,103893
2020-6932,Clay,105226,124079
2020-M009,Clay,106099,105815
2020-520,Clay,144750,200615
2020-560,Hard,106233,105227
2020-8888,Hard,133430,126774
2020-580,Hard,105216,200611
2020-580,Hard,105916,206173
2020-580,Hard,105815,105023
2020-0375,Hard,105613,105807
2020-0891,Hard,106210,106099
2020-0506,Clay,105155,207680
2020-0495,Hard,104792,105916
2020-0352,Hard,104731,111513
2020-0605,Hard,104745,126094
2020-8888,Hard,104424,106223
2020-8888,Hard,200000,133018
2020-0891,Hard,126952,105432
2020-6932,Clay,126149,106249
2020-560,Hard,106233,144719
2020-M009,Clay,106065,106378
2020-520,Clay,104731,111513
2020-M-DC-2020-WG1-PO-PER-SUI-01,Clay,122669,105967
2020-520,Clay,126094,105023
2020-520,Clay,106329,106218
2020-560,Hard,105613,105430
2020-580,Hard,126205,105777
2020-6932,Clay,106432,205734
2020-0495,Hard,106034,104229
2020-560,Hard,100644,104731
2020-560,Hard,105807,104925
2020-0568,Hard,133430,104527
2020-0352,Hard,106218,105077
2020-M-DC-2020-WG2-PO-POL-HKG-01,Hard,209874,207852
2020-520,Clay,105077,105173
2020-520,Clay,104745,106078
2020-8888,Hard,106421,134770
2020-8888,Hard,106401,105526
2020-580,Hard,104545,106329
2020-580,Hard,126094,106331
2020-0506,Clay,105643,106198
2020-0496,Hard,122330,105916
2020-6932,Clay,106233,144719
2020-560,Hard,105575,105943
2020-0495,Hard,104755,144750
2020-M024,Hard,105676,106432
2020-520,Clay,106329,105932
2020-580,Hard,100644,106065
2020-580,Hard,117360,105062
2020-580,Hard,104925,105526
2020-580,Hard,105357,128034
2020-0506,Clay,105550,105487
2020-520,Clay,111575,106210
2020-560,Hard,133430,105676
2020-M009,Clay,207518,104527
2020-8888,Hard,105526,200000
2020-580,Hard,100644,126094
2020-9158,Clay,106426,105226
2020-0375,Hard,103852,200005
2020-0506,Clay,105077,104919
2020-6932,Clay,105226,106329
2020-560,Hard,200325,105379
