player_id,first_name,last_name,country_code,current_rank,current_points
105633,Mohamed,Safwat,EGY,153,425
105634,Viktor,Galovic,ITA,284,180
126120,Nino,Serdarusic,CRO,292,172
105641,Blaz,Rola,SLO,154,424
109739,Maximilian,Marterer,GER,209,300
105643,Federico,Delbonis,ARG,77,851
126125,Maxime,Janvier,FRA,210,299
111790,Brayden,Schnur,CAN,207,305
124079,Pedro,Martinez Portero,ESP,86,810
105649,Cedrik Marcel,Stebe,GER,126,534
111794,Kamil,Majchrzak,POL,107,690
111795,Filippo,Baldi,ITA,241,229
111797,Nicolas,Jarry,CHI,-1,-1
208055,Ajeet,Rai,NZL,951,13
105656,Marcelo,Arevalo,ESA,447,82
105657,Marius,Copil,ROU,216,277
132283,Lorenzo,Sonego,ITA,33,1588
126149,Gianluca,Mager,ITA,101,733
111815,Cameron,Norrie,GBR,74,877
105676,David,Goffin,BEL,16,2555
126156,Antonie,Hoang,FRA,121,558
105683,Milos,Raonic,CAN,14,2580
124116,Sebastian,Ofner,AUT,159,409
105688,Manuel,Sanchez,MEX,854,17
208103,Jiri,Lehecka,CZE,354,120
126190,Nicolas,Alvarez,PER,343,126
136440,Dominik,Koepfer,GER,66,931
126203,Taylor Harry,Fritz,USA,29,1695
126204,Gerardo,Lopez Villasenor,MEX,552,55
126205,Tommy,Paul,USA,52,1080
122109,Sanjar,Fayziev,UZB,511,65
126207,Francis,Tiafoe,USA,62,1005
105731,Steven,Diez,CAN,177,365
105732,Pierre Hugues,Herbert,FRA,83,822
144650,Rhett,Purcell,GBR,910,15
201995,Cayetano,March,ECU,682,32
105747,Karim Mohamed,Maamoun,EGY,390,104
124186,Alexandre,Muller,FRA,208,305
124187,Reilly,Opelka,USA,39,1402
126237,Gian Marco,Moroni,ITA,229,253
105757,Sandro,Ehrat,SUI,376,109
105777,Grigor,Dimitrov,BUL,19,2260
200000,Felix,Auger Aliassime,CAN,21,2241
144707,Mikael,Ymer,SWE,94,775
200005,Ugo,Humbert,FRA,31,1671
105806,Mirza,Basic,BIH,329,134
144719,Jaume,Munar,ESP,109,671
105807,Pablo,Carreno Busta,ESP,15,2580
105812,David,Agung Susanto,INA,1385,3
105815,Tennys,Sandgren,USA,50,1088
105819,Guido,Andreozzi,ARG,166,389
206173,Jannik,Sinner,ITA,36,1464
200031,Lucas,Catarina,MON,423,91
105827,Laurynas,Grigelis,LTU,424,90
208230,Alibek,Kachmazov,RUS,795,22
202090,Adrian,Andreev,BUL,564,52
144750,Lloyd George Muirhead,Harris,RSA,90,793
105842,Di,Wu,CHN,322,138
202103,Francisco,Cerundolo,ARG,139,478
144760,Amine,Ahouda,MAR,1642,1
126328,Gabriel,Donev,BUL,999,11
200059,Yibing,Wu,CHN,892,15
208260,Zachary,Svajda,USA,779,23
126340,Viktor,Durasovic,NOR,340,127
103819,Roger,Federer,SUI,5,6630
105870,Yannick,Hanfmann,GER,99,736
105877,Emilio,Gomez,ECU,160,402
105882,Stefano,Travaglia,ITA,75,869
200095,Nicola,Kuhn,ESP,253,219
105899,Martin,Cuevas,URU,488,72
103852,Feliciano,Lopez,ESP,63,998
105902,James,Duckworth,AUS,103,709
144817,Marc Andrea,Huesler,SUI,147,447
105906,Kevin,Krawietz,GER,648,35
202165,Alberto,Lim,PHI,-1,-1
122298,Botic,Van De Zandschulp,NED,156,423
105916,Marton,Fucsovics,HUN,54,1072
144841,Christian,Sigsgaard,DEN,-1,-1
105932,Nikoloz,Basilashvili,GEO,40,1395
105933,Roberto,Quiroz,ECU,293,171
105936,Filip,Krajinovic,SRB,30,1673
103893,Paolo,Lorenzi,ITA,145,457
105943,Federico,Gaio,ITA,136,481
122330,Alexander,Bublik,KAZ,49,1090
105954,Peter,Nagy,HUN,557,53
105963,Arthur,De Greef,BEL,338,129
103917,Nicolas,Mahut,FRA,239,239
200175,Miomir,Kecmanovic,SRB,42,1328
105967,Henri,Laaksonen,SUI,133,492
144895,Corentin,Moutet,FRA,80,838
105985,Darian,King,BAR,288,176
105992,Ryan,Harrison,USA,481,73
106000,Damir,Dzumhur,BIH,118,572
106005,Constant,Lestienne,FRA,227,255
134677,Juan,Borba,PAR,-1,-1
202262,Filip Cristian,Jianu,ROU,394,102
200218,Mate,Valkusz,HUN,575,50
200221,Alejandro,Davidovich Fokina,ESP,53,1078
103970,David,Ferrer,ESP,-1,-1
106021,Dragos,Dima,ROU,771,24
106031,Raymond,Sarmiento,USA,402,98
106032,Facundo,Arguello,ARG,358,117
106034,Yasutaka,Uchiyama,JPN,104,701
144946,Rayane,Roumane,FRA,383,108
103990,Tommy,Robredo,ESP,226,255
200247,Alexandar,Lazarov,BUL,544,58
200250,Mehluli Don Ayanda,Sibanda,ZIM,780,23
106043,Diego Sebastian,Schwartzman,ARG,9,3455
126523,Bernabe,Zapata Miralles,ESP,150,443
106045,Denis,Kudla,USA,114,608
106058,Jack,Sock,USA,255,217
106065,Marco,Cecchinato,ITA,79,838
200273,Hady,Habib,LIB,756,24
106071,Bernard,Tomic,AUS,228,253
106072,Alexey,Vatutin,RUS,244,225
144985,Ergi,Kirkin,TUR,446,83
200282,Alex,De Minaur,AUS,23,1860
106075,Jozef,Kovalik,SVK,131,506
144984,Artem,Dubrivnyy,RUS,426,90
208476,Kyle,Johnson,USA,-1,-1
106078,Egor,Gerasimov,BLR,78,840
126555,Tung Lin,Wu,TPE,247,223
120424,Yannick,Maden,GER,171,385
134770,Casper,Ruud,NOR,27,1739
106099,Salvatore,Caruso,ITA,76,858
202358,Chun Hsin,Tseng,TPE,280,188
106106,George,Tsivadze,GEO,886,16
106109,Alex,Bolt,AUS,172,380
106110,Filip,Horansky,SVK,184,352
200325,Emil,Ruusuvuori,FIN,87,806
106121,Taro,Daniel,JPN,116,591
202385,Jenson,Brooksby,USA,310,149
126610,Matteo,Berrettini,ITA,10,3085
126609,Patrik,Niklas Salminen,FIN,438,86
200343,David,Szintai,HUN,1605,2
106137,Tristan,Lamasine,FRA,271,204
202400,Alastair,Gray,GBR,1113,7
106148,Roberto,Carballes Baena,ESP,96,751
106150,Jeson,Patrombon,PHI,1465,2
200368,Jack Mingjie,Lin,CAN,1345,3
122548,Edan,Leshem,ISR,373,111
104122,Carlos,Berlocq,ARG,-1,-1
126652,Jay,Clarke,GBR,191,340
122570,Mubarak Shannan,Zayid,QAT,-1,-1
106186,Jason,Kubler,AUS,259,210
134868,Tallon,Griekspoor,NED,155,423
208597,Chak Lam Coleman,Wong,HKG,1581,2
106198,Hugo,Dellien,BOL,111,646
106203,Pedro,Sakamoto,BRA,290,174
106210,Jiri,Vesely,CZE,67,928
106214,Oscar,Otte,GER,140,474
106216,Bjorn,Fratangelo,USA,274,195
106218,Marcos,Giron,USA,70,884
202475,Philip,Henning,RSA,-1,-1
106220,Dimitar,Kuzmanov,BUL,298,166
106223,Aleksandre,Metreveli,GEO,595,44
106227,Ji Sung,Nam,KOR,268,205
106228,Juan Ignacio,Londero,ARG,81,832
200436,Zsombor,Piros,HUN,437,86
106232,Roberto,Cid,DOM,231,253
106233,Dominic,Thiem,AUT,3,9125
104198,Guillermo,Garcia Lopez,ESP,222,258
106249,Joao,Domingues,POR,179,364
200460,John Bryan Decasa,Otico,PHI,-1,-1
200484,Rudolf,Molleker,GER,218,273
106283,Mitchell,Krueger,USA,190,342
122669,Juan Pablo,Varillas Patino Samudio,PER,158,414
106293,Kimmer,Coppejans,BEL,175,368
126774,Stefanos,Tsitsipas,GRE,6,5940
106296,Gregoire,Barrere,FRA,110,654
106298,Lucas,Pouille,FRA,71,880
137018,Ayed,Zatar,PAR,-1,-1
