tourney_id,surface,winner_id,loser_id
2018-5014,Hard,103819,105138
2018-540,Grass,105223,104468
2018-0321,Grass,103852,104678
2018-0341,Hard,120424,104999
2018-7485,Hard,104542,105550
2018-560,Hard,104926,111581
2018-0314,Clay,126610,105138
2018-5014,Hard,105023,126203
2018-0321,Grass,103852,104468
2018-580,Hard,105173,126610
2018-580,Hard,105023,103852
2018-580,Hard,103819,105379
2018-580,Hard,104607,104198
2018-M-DC-2018-G2-EPA-M-GEO-MAR-01,Clay,104467,106106
2018-0424,Hard,105173,104629
2018-0407,Hard,103819,105777
2018-0499,Hard,126207,105051
2018-M006,Hard,105311,104022
2018-7648,Clay,132283,128034
2018-0314,Clay,105138,106121
2018-560,Hard,100644,105166
2018-0308,Clay,105916,106065
2018-0414,Clay,104755,105332
2018-6967,Hard,111815,106432
2018-0352,Hard,106432,106421
2018-7581,Hard,200000,111202
2018-0352,Hard,111575,104925
2018-7163,Clay,104291,111513
2018-M-DC-2018-WG-M-HUN-BEL-01,Hard,105676,105226
2018-M006,Hard,105023,104999
2018-M-DC-2018-G2-AM-M-VEN-URU-01,Clay,104655,105961
2018-M009,Clay,104745,133430
2018-520,Clay,104925,144719
2018-M010,Grass,105539,105015
2018-7650,Grass,106000,105657
2018-540,Grass,106421,104198
2018-0439,Clay,106065,105477
2018-0421,Hard,105732,105077
2018-6967,Hard,105077,104312
2018-540,Grass,105453,106071
2018-0421,Hard,125802,105992
2018-M014,Hard,106421,105583
2018-540,Grass,104545,105430
2018-6242,Hard,105807,105376
2018-M007,Hard,105683,144707
2018-0891,Hard,125802,111576
2018-0891,Hard,104898,111797
2018-580,Hard,105223,111575
2018-0424,Hard,105453,105430
2018-0499,Hard,105015,122330
2018-M006,Hard,200282,105526
2018-7648,Clay,126610,105226
2018-7694,Clay,109739,104792
2018-0311,Grass,105023,104527
2018-0315,Grass,104180,104571
2018-0316,Clay,104755,105589
2018-0315,Grass,104534,103333
2018-560,Hard,105676,105526
2018-0337,Hard,105023,104542
2018-0429,Hard,105208,133430
2018-560,Hard,105453,105227
2018-0451,Hard,106432,105807
2018-7434,Hard,104678,104797
2018-M006,Hard,103852,124014
2018-7163,Clay,106121,104291
2018-M009,Clay,100644,105676
2018-520,Clay,104269,105819
2018-M010,Grass,104291,126845
2018-7650,Grass,105732,105216
2018-0314,Clay,126610,103852
2018-560,Hard,105062,111202
2018-M-DC-2018-G2-AO-M-THA-LBN-01,Hard,200273,207139
2018-M035,Hard,133430,106421
2018-0337,Hard,104731,104269
2018-0568,Hard,104022,105806
2018-0319,Clay,105373,105583
2018-7650,Grass,104198,106121
2018-0352,Hard,106421,105807
2018-0341,Hard,105575,109739
2018-M035,Hard,126094,126205
2018-520,Clay,104269,106415
2018-0425,Clay,126774,106043
2018-580,Hard,104180,104291
2018-580,Hard,105916,105023
2018-M-DC-2018-G1-EPA-M-AUT-BLR-01,Clay,106233,125802
2018-M-DC-2018-WG-M-ITA-JPN-01,Hard,104926,105216
2018-7648,Clay,120424,105916
2018-M007,Hard,106043,111797
2018-0424,Hard,104731,126207
2018-M006,Hard,200000,105577
2018-7694,Clay,104468,105515
2018-0329,Hard,104527,126203
2018-560,Hard,104918,105902
2018-0329,Hard,106421,105453
2018-0314,Clay,105634,104898
2018-560,Hard,105676,105943
2018-0451,Hard,105550,105077
2018-0891,Hard,106120,106210
2018-M006,Hard,106058,105341
2018-0308,Clay,134770,105657
2018-0410,Clay,106421,105916
2018-M009,Clay,105227,105807
2018-520,Clay,105777,111577
2018-7650,Grass,106210,104269
2018-0439,Clay,105550,104898
2018-0314,Clay,105132,105870
2018-560,Hard,105583,111815
2018-560,Hard,104925,105916
2018-6116,Hard,104545,105051
2018-0500,Grass,103819,105051
2018-560,Hard,104755,111513
2018-0341,Hard,104755,106005
2018-0605,Hard,103819,106233
2018-580,Hard,105227,105311
2018-580,Hard,106044,105041
2018-0424,Hard,105023,105173
2018-M006,Hard,104534,105376
2018-M007,Hard,105332,104925
2018-0425,Clay,105138,103333
2018-7648,Clay,109739,104678
2018-M-DC-2018-G2-EPA-M-FIN-LTU-01,Hard,105575,105349
2018-0311,Grass,104925,104871
2018-540,Grass,103819,105583
2018-6967,Hard,104269,104918
2018-0421,Hard,104745,126774
2018-7581,Hard,105062,105815
2018-540,Grass,126610,106058
2018-M015,Hard,103852,106432
2018-6967,Hard,105077,104678
2018-M024,Hard,105807,104755
2018-0425,Clay,105173,104655
2018-M-DC-2018-WG-M-KAZ-SUI-01,Hard,122078,106391
2018-M006,Hard,106121,111815
2018-M006,Hard,104731,105539
2018-M-DC-2018-G2-EPA-M-FIN-LTU-01,Hard,105349,105827
2018-0308,Clay,104999,104890
2018-M009,Clay,104925,105453
2018-520,Clay,106233,126774
2018-7650,Grass,105932,105583
2018-0414,Clay,105379,105967
2018-M015,Hard,105223,104926
2018-560,Hard,111575,105077
2018-0429,Hard,126774,104926
2018-0414,Clay,105932,111797
2018-0328,Hard,104468,104919
2018-0321,Grass,104797,104252
2018-580,Hard,104755,132283
2018-0424,Hard,104731,105453
2018-0499,Hard,105376,105041
2018-M006,Hard,104571,106415
2018-M007,Hard,105936,106281
2018-7648,Clay,105357,105430
2018-7694,Clay,111815,109739
2018-7650,Grass,104198,104898
2018-540,Grass,105041,126127
2018-540,Grass,103898,105916
2018-7480,Hard,104926,106415
2018-0328,Hard,103819,105657
2018-0568,Hard,105062,104797
2018-0319,Clay,111797,126610
2018-M016,Grass,104919,104468
2018-M009,Clay,104745,106000
2018-M035,Hard,104291,105539
2018-540,Grass,104745,106210
2018-0352,Hard,111575,100644
2018-0451,Hard,104792,103893
2018-M-DC-2018-G1-AM-M-CHI-ECU-01,Clay,111797,105933
2018-7161,Clay,134770,104122
2018-M006,Hard,106044,106000
2018-0308,Clay,104259,103333
2018-0425,Clay,104719,105062
2018-M009,Clay,104745,104926
2018-520,Clay,105023,126207
2018-520,Clay,126610,105208
2018-0311,Grass,105227,104180
2018-6242,Hard,106378,104919
2018-0316,Clay,105589,144895
2018-7485,Hard,106210,144719
2018-560,Hard,105357,202385
2018-6116,Hard,105992,111202
2018-7290,Clay,105311,106421
2018-0891,Hard,106368,106148
2018-0301,Hard,105311,105385
2018-580,Hard,106415,104259
2018-580,Hard,103819,105526
2018-0424,Hard,104731,105023
2018-M006,Hard,106026,103917
2018-7648,Clay,106065,106000
2018-M007,Hard,105453,105357
2018-M009,Clay,132283,105173
2018-0314,Clay,103852,106177
2018-7485,Hard,104792,106043
2018-0414,Clay,111797,105376
2018-0352,Hard,106058,104755
2018-M035,Hard,200282,126094
2018-7581,Hard,106071,144750
2018-0308,Clay,109739,104460
2018-0301,Hard,105376,105065
2018-M006,Hard,106421,126610
2018-M-DC-2018-G2-AO-M-HKG-LBN-01,Hard,133975,138846
2018-M-DC-2018-G2-AO-M-THA-PHI-01,Clay,106397,106150
2018-7290,Clay,105155,104468
2018-M009,Clay,100644,105227
2018-0322,Clay,104312,126523
2018-520,Clay,105453,105332
2018-0500,Grass,105932,200484
2018-0421,Hard,111575,105936
2018-6967,Hard,106368,106210
2018-540,Grass,105208,106000
2018-0421,Hard,126207,105683
2018-0316,Clay,104269,105807
2018-540,Grass,126774,105341
2018-7648,Clay,105526,122330
2018-M007,Hard,105223,104898
2018-580,Hard,105777,110602
2018-580,Hard,105041,105683
2018-580,Hard,104745,106000
2018-M-DC-2018-WG-M-HUN-BEL-01,Hard,105074,105916
2018-0407,Hard,105777,105216
2018-M-DC-2018-G2-AO-M-HKG-LBN-01,Hard,200273,124022
2018-M006,Hard,104999,105062
2018-0425,Clay,105676,104719
2018-0315,Grass,104719,111574
2018-M014,Hard,105173,104312
2018-560,Hard,105453,106043
2018-0337,Hard,111575,110602
2018-540,Grass,105227,106415
2018-0319,Clay,106121,105526
2018-580,Hard,105916,105430
2018-M006,Hard,105807,104547
2018-M009,Clay,104745,104925
2018-520,Clay,104468,105023
2018-7650,Grass,105311,105806
2018-0439,Clay,200000,105413
2018-0311,Grass,106401,106378
2018-6242,Hard,105807,105015
2018-560,Hard,106233,126203
2018-560,Hard,104925,105357
2018-0337,Hard,105453,105062
2018-M-DC-2018-WG-PO-HUN-CZE-01,Clay,200436,106210
2018-520,Clay,105132,106058
2018-0352,Hard,104755,133430
2018-0341,Hard,105916,105173
2018-M035,Hard,105676,105732
2018-540,Grass,105332,105359
2018-M024,Hard,105807,104898
2018-M006,Hard,124014,126207
2018-0425,Clay,105077,104297
2018-7648,Clay,105932,133430
2018-580,Hard,106043,105238
2018-580,Hard,132283,104898
2018-7434,Hard,105373,200574
2018-M007,Hard,106058,106026
2018-0407,Hard,105936,200000
2018-0499,Hard,105449,105932
2018-M-DC-2018-G2-AM-M-MEX-PER-01,Hard,126190,106250
2018-0314,Clay,111513,104797
2018-0329,Hard,104871,106000
2018-6242,Hard,106148,105550
2018-560,Hard,104269,103852
2018-5014,Hard,104871,109739
2018-0314,Clay,105138,144719
2018-5014,Hard,103819,106421
2018-M006,Hard,105138,111577
2018-0301,Hard,103970,200059
2018-7434,Hard,105657,104882
2018-0308,Clay,106065,104926
2018-M009,Clay,104745,100644
2018-520,Clay,106298,111815
2018-0321,Grass,109739,105634
2018-0311,Grass,105227,105023
2018-7650,Grass,105173,105575
2018-6242,Hard,106148,105077
2018-560,Hard,105815,104678
2018-6116,Hard,105051,104571
2018-0500,Grass,106432,105138
2018-560,Hard,106298,104571
2018-0341,Hard,104468,105936
2018-0605,Hard,100644,105227
2018-M006,Hard,105341,105614
2018-580,Hard,105807,104180
2018-M020,Hard,105357,105166
2018-0891,Hard,104731,106329
2018-0301,Hard,111575,105216
2018-M-DC-2018-G1-AM-M-DOM-BRA-01,Hard,106252,106232
2018-7434,Hard,104571,105173
2018-0407,Hard,103819,104898
2018-7648,Clay,104312,104022
2018-M007,Hard,106432,104919
2018-0421,Hard,104527,105916
2018-6967,Hard,105732,200282
2018-7694,Clay,104198,105173
2018-M024,Hard,105376,105311
2018-7581,Hard,105577,105430
2018-M015,Hard,105936,104999
2018-6967,Hard,105732,105077
2018-M024,Hard,105614,109739
2018-580,Hard,106044,111442
2018-7434,Hard,104797,202090
2018-M006,Hard,106432,105077
2018-0425,Clay,105777,104468
2018-0308,Clay,105806,104792
2018-0322,Clay,111511,104571
2018-520,Clay,111575,104198
2018-M010,Grass,105051,104180
2018-0311,Grass,106421,106058
2018-7650,Grass,106000,105732
2018-6242,Hard,106378,106148
2018-M015,Hard,105932,105223
2018-M021,Clay,104898,111202
2018-0429,Hard,105208,104545
2018-0429,Hard,106045,104198
2018-540,Grass,104731,105613
2018-0328,Hard,105526,105357
2018-0321,Grass,104607,105332
